,PUBMEDID,TITLE,AUTHORS,PUBICATION,PUBDATE,PUBYEAR
1016,10952056,Intracellular processing and toxicity of the truncated androgen receptor: nuclear congophilia-associated cell death.,"Feng B, Chen L, Drmanovic Z, Kakabadze I, Mendell JR, Marzluf GA, Sahenk Z.",J Neuropathol Exp Neurol. 2000 Aug;59(8):652-63.,8/22/2000,2000
1019,10951525,Founder effect in spinal and bulbar muscular atrophy (SBMA) in Scandinavia.,"Lund A, Udd B, Juvonen V, Andersen PM, Cederquist K, Ronnevi LO, Sistonen P, Sörensen SA, Tranebjaerg L, Wallgren-Pettersson C, Savontaus ML.",Eur J Hum Genet. 2000 Aug;8(8):631-6.,8/22/2000,2000
1022,10956560,CAG trinucleotide repeats in the androgen receptor gene of infertile men exhibit stable inheritance in female offspring conceived after ICSI.,"Cram DS, Song B, McLachlan RI, Trounson AO.",Mol Hum Reprod. 2000 Sep;6(9):861-6.,8/24/2000,2000
1025,10958659,CREB-binding protein sequestration by expanded polyglutamine.,"McCampbell A, Taylor JP, Taye AA, Robitschek J, Li M, Walcott J, Merry D, Chai Y, Paulson H, Sobue G, Fischbeck KH.",Hum Mol Genet. 2000 Sep 1;9(14):2197-202.,8/25/2000,2000
1029,10960290,Sensory ataxia as the initial clinical symptom in X-linked recessive bulbospinal neuronopathy.,"Buecking A, Pfister R.",J Neurol Neurosurg Psychiatry. 2000 Aug;69(2):277. No abstract available.,8/29/2000,2000
1032,19078594,Progressive proximal spinal and bulbar muscular atrophy of late onset: a sex-linked recessive trait.,"Kennedy WR, Alter M.",J Clin Neuromuscul Dis. 2000 Sep;2(1):3-5. No abstract available.,9/1/2000,2000
1035,11012046,Maximal and minimal motor conduction velocity in amyotrophic lateral sclerosis and X-linked bulbospinal muscular atrophy measured by Harayama's collision method.,"Hirata A, Iijima M, Motoyoshi K, Kamakura K.",J Clin Neurophysiol. 2000 Jul;17(4):426-33.,9/30/2000,2000
1038,11076024,Protein aggregation and pathogenesis of Huntington's disease: mechanisms and correlations.,Wanker EE.,Biol Chem. 2000 Sep-Oct;381(9-10):937-42. Review.,11/15/2000,2000
1041,11096437,Gene therapy for amyotrophic lateral sclerosis and other motor neuron diseases.,"Alisky JM, Davidson BL.",Hum Gene Ther. 2000 Nov 20;11(17):2315-29. Review.,11/30/2000,2000
1044,11102912,Complex fasciculations and their origin in amyotrophic lateral sclerosis and Kennedy's disease.,"Hirota N, Eisen A, Weber M.",Muscle Nerve. 2000 Dec;23(12):1872-5.,12/5/2000,2000
1047,11152658,Expression of expanded repeat androgen receptor produces neurologic disease in transgenic mice.,"Abel A, Walcott J, Woods J, Duda J, Merry DE.",Hum Mol Genet. 2001 Jan 15;10(2):107-16.,1/12/2001,2001
1050,11167027,In vivo expansion of trinucleotide repeats yields plasmid and YAC constructs for targeting and transgenesis.,"Sopher BL, Myrick SB, Hong JY, Smith AC, La Spada AR.",Gene. 2000 Dec 31;261(2):383-90.,2/13/2001,2001
1053,11211058,Pathology of CAG repeat diseases.,"Yamada M, Tsuji S, Takahashi H.",Neuropathology. 2000 Dec;20(4):319-25. Review.,2/24/2001,2001
1056,19078624,Creatine kinase revisited.,"Katiriji B, Al Jaberi MM.",J Clin Neuromuscul Dis. 2001 Mar;2(3):158-64.,3/1/2001,2001
1059,11266016,Thirty-seven CAG repeats in the androgen receptor gene in two healthy individuals.,"Kuhlenbäumer G, Kress W, Ringelstein EB, Stögbauer F.",J Neurol. 2001 Jan;248(1):23-6.,3/27/2001,2001
1062,11298997,The selective vulnerability of nerve cells in Huntington's disease.,"Sieradzan KA, Mann DM.",Neuropathol Appl Neurobiol. 2001 Feb;27(1):1-21. Review.,4/12/2001,2001
1065,11306865,Spinal and bulbar muscular atrophy without tongue atrophy.,"Sugawara M, Kato K, Watanabe S, Toyoshima I.",Eur Neurol. 2001;45(3):185-6. No abstract available.,4/18/2001,2001
1068,11328326,Diagnosis of motor neuropathy.,"Léger JM, Salachas F.",Eur J Neurol. 2001 May;8(3):201-8. Review.,5/1/2001,2001
1071,11330644,Larger trinucleotide repeat size in the androgen receptor gene of infertile men with extremely severe oligozoospermia.,"Patrizio P, Leonard DG, Chen KL, Hernandez-Ayup S, Trounson AO.",J Androl. 2001 May-Jun;22(3):444-8.,5/2/2001,2001
1074,11331614,Transgenic mice with an expanded CAG repeat controlled by the human AR promoter show polyglutamine nuclear inclusions and neuronal dysfunction without neuronal cell death.,"Adachi H, Kume A, Li M, Nakagomi Y, Niwa H, Do J, Sang C, Kobayashi Y, Doyu M, Sobue G.",Hum Mol Genet. 2001 May 1;10(10):1039-48.,5/2/2001,2001
1077,11335100,Androgen induced cell death in SHSY5Y neuroblastoma cells expressing wild-type and spinal bulbar muscular atrophy mutant androgen receptors.,"Grierson AJ, Shaw CE, Miller CC.",Biochim Biophys Acta. 2001 Apr 30;1536(1):13-20.,5/4/2001,2001
1080,11356158,Structural and functional alterations in the androgen receptor in spinal bulbar muscular atrophy.,McEwan IJ.,Biochem Soc Trans. 2001 May;29(Pt 2):222-7. Review. Erratum in: Biochem Soc Trans 2001 Aug;29(Pt 4):627.,5/18/2001,2001
1083,11394630,Role of chaperones in nuclear translocation and transactivation of steroid receptors.,"Heinlein CA, Chang C.",Endocrine. 2001 Mar;14(2):143-9. Review.,6/8/2001,2001
1086,11400322,[Molecular pathogenesis of motor neuron diseases].,Sobue G.,Nihon Shinkei Seishin Yakurigaku Zasshi. 2001 Feb;21(1):21-25. Review. Japanese.,6/13/2001,2001
1089,11420135,Molecular basis of androgen insensitivity.,Brinkmann AO.,Mol Cell Endocrinol. 2001 Jun 20;179(1-2):105-9. Review.,6/23/2001,2001
1092,11422120,Undermasculinized genitalia in a boy with an abnormally expanded CAG repeat length in the androgen receptor gene.,"Ogata T, Muroya K, Ishii T, Suzuki Y, Nakada T, Sasagawa I.",Clin Endocrinol (Oxf). 2001 Jun;54(6):835-8.,6/26/2001,2001
1095,11436124,"Multiple founder effects in spinal and bulbar muscular atrophy (SBMA, Kennedy disease) around the world.","Lund A, Udd B, Juvonen V, Andersen PM, Cederquist K, Davis M, Gellera C, Kölmel C, Ronnevi LO, Sperfeld AD, Sörensen SA, Tranebjaerg L, Van Maldergem L, Watanabe M, Weber M, Yeung L, Savontaus ML.",Eur J Hum Genet. 2001 Jun;9(6):431-6.,7/4/2001,2001
1098,11442323,Clinical electrophysiology of the upper and lower motor neuron in amyotrophic lateral sclerosis.,Eisen A.,Semin Neurol. 2001 Jun;21(2):141-54. Review.,7/10/2001,2001
1101,11460829,Clinical implications of the genetics of ALS and other motor neuron diseases.,"Orrell RW, Figlewicz DA.",Neurology. 2001 Jul 10;57(1):9-17. Review.,7/20/2001,2001
1104,11464455,"[Triplet repeat disease, with particular emphasis of spinal and bulbar muscular atrophy (SBMA)].",Sobue G.,Rinsho Shinkeigaku. 2000 Dec;40(12):1193-5. Japanese.,7/24/2001,2001
1107,11499674,Preimplantation genetic diagnosis for spinal and bulbar muscular atrophy (SBMA).,"Georgiou I, Sermon K, Lissens W, De Vos A, Platteau P, Lolis D, Van Steirteghem A, Liebaers I.",Hum Genet. 2001 Jun;108(6):494-8.,8/14/2001,2001
1110,11501969,Identification and characterization of androgen receptor associated coregulators in prostate cancer cells.,"Sampson ER, Yeh SY, Chang HC, Tsai MY, Wang X, Ting HJ, Chang C.",J Biol Regul Homeost Agents. 2001 Apr-Jun;15(2):123-9. Review.,8/15/2001,2001
1113,11528711,"[Muscular atrophy, spinal and bulbar (SBMA), X-linked Kennedy type].",Saito K.,Ryoikibetsu Shokogun Shirizu. 2001;(34 Pt 2):223-4. Review. Japanese.  No abstract available.,9/1/2001,2001
1117,11534518,Cervical spondylotic myopathy and Kennedy syndrome mimicking amyotrophic lateral sclerosis.,"Fischer D, Wüllner U, Klockgether T, Schröder R, Wilhelm K.",J Neurol Neurosurg Psychiatry. 2001 Sep;71(3):414. No abstract available.,9/6/2001,2001
1120,11569904,Dopaminergic pathways involvement in Kennedy's disease: neurophysiological and.,"Soragna D, Messa C, Mochi M, Alfonsi E, Manni R, Galimberti CA, Marchioni E.",J Neurol. 2001 Aug;248(8):710-2. No abstract available.,9/25/2001,2001
1123,11601179,[Kennedy disease in a patient with progressive speech disorder].,"Kárteszi J, Morava E, Czakó M, Gáti I, Czopf J, Kosztolányi G, Melegh B.",Orv Hetil. 2001 Sep 2;142(35):1915-7. Hungarian.,10/17/2001,2001
1126,11684838,Molecular biology of the androgen receptor: from molecular understanding to the clinic.,"Eder IE, Culig Z, Putz T, Nessler-Menardi C, Bartsch G, Klocker H.",Eur Urol. 2001 Sep;40(3):241-51. Review.,10/31/2001,2001
1129,11697521,Clinical features and skewed X-chromosome inactivation in female carriers of X-linked recessive spinal and bulbar muscular atrophy.,"Ishihara H, Kanda F, Nishio H, Sumino K, Chihara K.",J Neurol. 2001 Oct;248(10):856-60.,11/8/2001,2001
1132,11719247,Transglutaminase-dependent formation of protein aggregates as possible biochemical mechanism for polyglutamine diseases.,"Violante V, Luongo A, Pepe I, Annunziata S, Gentile V.",Brain Res Bull. 2001 Oct-Nov 1;56(3-4):169-72. Review.,11/24/2001,2001
1135,11719253,Polyglutamine tract expansion of the androgen receptor in a motoneuronal model of spinal and bulbar muscular atrophy.,"Piccioni F, Simeoni S, Andriola I, Armatura E, Bassanini S, Pozzi P, Poletti A.",Brain Res Bull. 2001 Oct-Nov 1;56(3-4):215-20. Review.,11/24/2001,2001
1138,11719263,Cytochrome c oxidase subunit Vb interacts with human androgen receptor: a potential mechanism for neurotoxicity in spinobulbar muscular atrophy.,"Beauchemin AM, Gottlieb B, Beitel LK, Elhaji YA, Pinsky L, Trifiro MA.",Brain Res Bull. 2001 Oct-Nov 1;56(3-4):285-97.,11/24/2001,2001
1141,11719246,Protective effect of chaperones on polyglutamine diseases.,"Kobayashi Y, Sobue G.",Brain Res Bull. 2001 Oct-Nov 1;56(3-4):165-8. Review.,11/24/2001,2001
1144,11719251,Molecular pathogenesis of spinal and bulbar muscular atrophy.,Merry DE.,Brain Res Bull. 2001 Oct-Nov 1;56(3-4):203-7. Review.,11/24/2001,2001
1147,11719245,Polyglutamine expansion neurodegenerative disease.,Fischbeck KH.,Brain Res Bull. 2001 Oct-Nov 1;56(3-4):161-3. Review.,11/24/2001,2001
1150,11719252,Kennedy's disease: a triplet repeat disorder or a motor neuron disease?,Gallo JM.,Brain Res Bull. 2001 Oct-Nov 1;56(3-4):209-14. Review.,11/24/2001,2001
1153,11732276,[Kennedy's disease: expansion of the CAG trinucleotide].,"Domitrz I, Jedrzejowska M, Lipowska M, Siddique T, Kwieciński H.",Neurol Neurochir Pol. 2001;35(1 Suppl):107-14. Review. Polish.,12/6/2001,2001
1156,11751688,Glucocorticoid modulation of androgen receptor nuclear aggregation and cellular toxicity is associated with distinct forms of soluble expanded polyglutamine protein.,"Welch WJ, Diamond MI.",Hum Mol Genet. 2001 Dec 15;10(26):3063-74.,12/26/2001,2001
1159,11766302,"[From gene to disease; androgen receptor gene, androgen insensitivity syndrome, and spinal and bulbar muscle atrophy].","Boehmer AL, Brinkmann AO, Niermeijer MF, Halley DJ, Drop SL.",Ned Tijdschr Geneeskd. 2001 Dec 1;145(48):2326-8. Review. Dutch.,1/5/2002,2002
1162,11761679,[Idiopathic male infertility and androgen receptors].,"Wallerand H, Chabannes E, Bittard H.",Prog Urol. 2001 Sep;11(4):610-20. Review. French.,1/5/2002,2002
1165,11792931,Is increased CAG repeat length in the androgen receptor gene a risk factor for male subfertility?,"Van Golde R, Van Houwelingen K, Kiemeney L, Kremer J, Tuerlings J, Schalken J, Meuleman E.",J Urol. 2002 Feb;167(2 Pt 1):621-3.,1/17/2002,2002
1168,11809726,Rescue of polyglutamine-mediated cytotoxicity by double-stranded RNA-mediated RNA interference.,"Caplen NJ, Taylor JP, Statham VS, Tanaka F, Fire A, Morgan RA.",Hum Mol Genet. 2002 Jan 15;11(2):175-84.,1/26/2002,2002
1171,11875046,Molecular chaperones enhance the degradation of expanded polyglutamine repeat androgen receptor in a cellular model of spinal and bulbar muscular atrophy.,"Bailey CK, Andriola IF, Kampinga HH, Merry DE.",Hum Mol Genet. 2002 Mar 1;11(5):515-23.,3/5/2002,2002
1174,11949733,"Epidemiological survey of X-linked bulbar and spinal muscular atrophy, or Kennedy disease, in the province of Reggio Emilia, Italy.","Guidetti D, Sabadini R, Ferlini A, Torrente I.",Eur J Epidemiol. 2001;17(6):587-91.,4/13/2002,2002
1177,12001201,A simple and effective approach for detecting maternal cell contamination in molecular prenatal diagnosis.,"Antoniadi T, Yapijakis C, Kaminopetros P, Makatsoris C, Velissariou V, Vassilopoulos D, Petersen MB.",Prenat Diagn. 2002 May;22(5):425-9.,5/10/2002,2002
1180,12051019,Sensory neuropathy in X-linked recessive bulbospinal neuronopathy.,"Chu CC, Huang CC, Kuo HC, Liu CS, Tsai CS.",J Formos Med Assoc. 2002 Mar;101(3):214-8.,6/8/2002,2002
1183,12161010,The androgen receptor CAG repeat: a modifier of carcinogenesis?,"Ferro P, Catalano MG, Dell'Eva R, Fortunati N, Pfeffer U.",Mol Cell Endocrinol. 2002 Jul 31;193(1-2):109-20. Review.,8/6/2002,2002
1186,12161529,A comprehensive endocrine description of Kennedy's disease revealing androgen insensitivity linked to CAG repeat length.,"Dejager S, Bry-Gauillard H, Bruckert E, Eymard B, Salachas F, LeGuern E, Tardieu S, Chadarevian R, Giral P, Turpin G.",J Clin Endocrinol Metab. 2002 Aug;87(8):3893-901.,8/6/2002,2002
1189,12165558,Altered transcriptional regulation in cells expressing the expanded polyglutamine androgen receptor.,"Lieberman AP, Harmison G, Strand AD, Olson JM, Fischbeck KH.",Hum Mol Genet. 2002 Aug 15;11(17):1967-76.,8/8/2002,2002
1192,12189162,A mouse model of spinal and bulbar muscular atrophy.,"McManamny P, Chy HS, Finkelstein DI, Craythorn RG, Crack PJ, Kola I, Cheema SS, Horne MK, Wreford NG, O'Bryan MK, De Kretser DM, Morrison JR.",Hum Mol Genet. 2002 Sep 1;11(18):2103-11.,8/22/2002,2002
1195,12203763,Proton MRS in Kennedy disease: absolute metabolite and macromolecular concentrations.,"Mader I, Karitzky J, Klose U, Seeger U, Sperfeld A, Naegele T, Schick F, Ludolph A, Grodd W.",J Magn Reson Imaging. 2002 Aug;16(2):160-7.,8/31/2002,2002
1198,12205033,Androgen receptor with elongated polyglutamine tract forms aggregates that alter axonal trafficking and mitochondrial distribution in motor neuronal processes.,"Piccioni F, Pinton P, Simeoni S, Pozzi P, Fascio U, Vismara G, Martini L, Rizzuto R, Poletti A.",FASEB J. 2002 Sep;16(11):1418-20. Epub 2002 Jul 18.,9/3/2002,2002
1201,12221177,Expression of X-linked bulbospinal muscular atrophy (Kennedy disease) in two homozygous women.,"Schmidt BJ, Greenberg CR, Allingham-Hawkins DJ, Spriggs EL.",Neurology. 2002 Sep 10;59(5):770-2.,9/11/2002,2002
1204,12372277,Polyglutamine pathogenesis: emergence of unifying mechanisms for Huntington's disease and related disorders.,Ross CA.,Neuron. 2002 Aug 29;35(5):819-22. Review.,10/10/2002,2002
1207,12372280,Testosterone reduction prevents phenotypic expression in a transgenic mouse model of spinal and bulbar muscular atrophy.,"Katsuno M, Adachi H, Kume A, Li M, Nakagomi Y, Niwa H, Sang C, Kobayashi Y, Doyu M, Sobue G.",Neuron. 2002 Aug 29;35(5):843-54.,10/10/2002,2002
1210,12372281,Androgen-dependent neurodegeneration by polyglutamine-expanded human androgen receptor in Drosophila.,"Takeyama K, Ito S, Yamamoto A, Tanimoto H, Furutani T, Kanuka H, Miura M, Tabata T, Kato S.",Neuron. 2002 Aug 29;35(5):855-64.,10/10/2002,2002
1213,12388541,Ligand promotes intranuclear inclusions in a novel cell model of spinal and bulbar muscular atrophy.,"Walcott JL, Merry DE.",J Biol Chem. 2002 Dec 27;277(52):50855-9. Epub 2002 Oct 17.,10/22/2002,2002
1216,12393801,Genetic modulation of polyglutamine toxicity by protein conjugation pathways in Drosophila.,"Chan HY, Warrick JM, Andriola I, Merry D, Bonini NM.",Hum Mol Genet. 2002 Nov 1;11(23):2895-904.,10/24/2002,2002
1219,12404949,[Syndromes and diseases caused by mutations of trinucleotide expansions].,Seemanová E.,Cas Lek Cesk. 2002 Aug 16;141(16):503-7. Review. Czech.,10/31/2002,2002
1222,12427914,Jaw drop in Kennedy's disease.,"Sumner CJ, Fischbeck KH.",Neurology. 2002 Nov 12;59(9):1471-2. No abstract available.,11/13/2002,2002
1225,12438937,Ligand-dependent aggregation of polyglutamine-expanded androgen receptor in neuronal cells.,"Darrington RS, Butler R, Leigh PN, McPhaul MJ, Gallo JM.",Neuroreport. 2002 Nov 15;13(16):2117-20.,11/20/2002,2002
1228,12445917,X-linked spinal and bulbar muscular atrophy without proximal atrophy.,"Boz C, Sahin N, Kalay E, Velioglu S, Ozmenoglu M.",Clin Neurol Neurosurg. 2002 Dec;105(1):14-7.,11/26/2002,2002
1231,12465595,[The androgen receptor: molecular pathology].,"Sultan Ch, Gobinet J, Terouanne B, Paris F, Belon Ch, Jalaguier S, Georget V, Poujol N, Auzou G, Lumbroso S.",J Soc Biol. 2002;196(3):223-40. Review. French.,12/6/2002,2002
1234,12470181,X-linked bulbospinal neuronopathy: Kennedy disease.,"Sperfeld AD, Karitzky J, Brummer D, Schreiber H, Häussler J, Ludolph AC, Hanemann CO.",Arch Neurol. 2002 Dec;59(12):1921-6.,12/10/2002,2002
1237,12481545,Trinucleotide repeat disease. The androgen receptor in spinal and bulbar muscular atrophy.,"Walcott JL, Merry DE.",Vitam Horm. 2002;65:127-47. Review.,12/17/2002,2002
1240,12503246,[Kennedy syndrome--bulbo-spinal muscular atrophy].,"Szabó A, Mechler F.",Ideggyogy Sz. 2002 Sep 20;55(9-10):323-9. Hungarian.,12/31/2002,2002
1243,12548535,Fatigue and abnormal neuromuscular transmission in Kennedy's disease.,"Meriggioli MN, Rowin J.",Muscle Nerve. 2003 Feb;27(2):249-51.,1/28/2003,2003
1246,12567414,Somatic instability of the androgen receptor CAG repeat in a normal female.,"Sharp A, Hurst J.",Am J Med Genet A. 2003 Mar 1;117A(2):161-3.,2/5/2003,2003
1249,12611433,Molecular mechanisms of TRS instability.,"Parniewski P, Staczek P.",Adv Exp Med Biol. 2002;516:1-25. Review.,3/4/2003,2003
1252,12641825,The CAG repeat polymorphism within the androgen receptor gene and maleness.,"Zitzmann M, Nieschlag E.",Int J Androl. 2003 Apr;26(2):76-83. Review.,3/19/2003,2003
1255,12651870,Aggresomes protect cells by enhancing the degradation of toxic polyglutamine-containing protein.,"Taylor JP, Tanaka F, Robitschek J, Sandoval CM, Taye A, Markovic-Plese S, Fischbeck KH.",Hum Mol Genet. 2003 Apr 1;12(7):749-57.,3/26/2003,2003
1258,12657679,Heat shock protein 70 chaperone overexpression ameliorates phenotypes of the spinal and bulbar muscular atrophy transgenic mouse model by reducing nuclear-localized mutant androgen receptor protein.,"Adachi H, Katsuno M, Minamiyama M, Sang C, Pagoulatos G, Angelidis C, Kusakabe M, Yoshiki A, Kobayashi Y, Doyu M, Sobue G.",J Neurosci. 2003 Mar 15;23(6):2203-11.,3/27/2003,2003
1261,12661407,[Molecular biology of polyglutamine diseases].,"Owecki M, Kozubski W.",Postepy Hig Med Dosw. 2002;56(6):779-88. Review. Polish.,3/29/2003,2003
1264,12710517,Hypercreatine kinasemia normalized during complete bed-rest in patients with X-linked spinobulbar muscular atrophy.,"Kimura F, Furutama D, Nakajima H, Sugino M.",Amyotroph Lateral Scler Other Motor Neuron Disord. 2002 Dec;3(4):248-9. No abstract available.,4/25/2003,2003
1267,12714591,Hsp105alpha suppresses the aggregation of truncated androgen receptor with expanded CAG repeats and cell toxicity.,"Ishihara K, Yamagishi N, Saito Y, Adachi H, Kobayashi Y, Sobue G, Ohtsuka K, Hatayama T.",J Biol Chem. 2003 Jul 4;278(27):25143-50. Epub 2003 Apr 24.,4/26/2003,2003
